advantage,classify_name,company,info,job_name,money,requirements
"['“区块链,新前景,大牛多”']",区块链,快捷键,"['2k-4k ', '/深圳 /', '经验应届毕业生 /', '学历不限 /', '实习']",社群运营实习生,2k-4k,"['本职位为代发职位，招聘公司是：ok集团（全球领先的区块链公司，行业前景动人）', '\xa0\xa0', '1、\xa0 寻找目标用户，并通过有效的引导转换方式将用户引入社群；', '2、\xa0 协助项目团队制定、完善社群运营计划及相关制度，推动社群良性发展，提升人气\xa0\xa0', '3、\xa0 负责社群的氛围调动,通过有计划有目的的运营活动和内容输出与用户互动，提升社群粘度', '4、\xa0 协助或完成公司或部门的社群运营目标，提升社群客户转化；', '\xa0', '\xa0\xa0\xa0', '1，\xa0 希望你是个活跃分子，在大学有过社群相关经验，能够迅速跟社群跟用户打成\xa0 一片', '2，\xa0 希望你还是一个有超强执行力的人，能够快速反应认真负责完成工作内容\xa0\xa0\xa0', '3，\xa0 希望你大学期间有接触了解过区块链、比特币', '4，\xa0 如果对区块链、用户拉新以及转化有强烈兴趣，那一定可以满足你\xa0\xa0', 'OK集团作为区块链行业的领军者，基于其深耕区块链应用落地一线的丰富经验，不断探索区块链底层技术的开发和全场景应用，为行业打造高、精、尖人才，不断向同行业其他创新企业和团队提供技术支持和商业帮助，得到了业内的一致认可和尊敬。']"
['薪资福利待遇优厚'],数据挖掘,合伙人网络,"['15k-25k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",大数据挖掘工程师,15k-25k,"['职位需求：', '1.\xa0 本科及以上学历，计算机、统计、数学等相关专业者优先', '2.\xa0 有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；', '3.\xa0 熟练掌握Python或R，有良好的编码风格者（尤其在可扩展性和\xa0\xa0\xa0 可读性上）优先；', '4.\xa0 熟悉数据挖掘相关算法，包括但不限于决策树、SVM、聚类、逻辑回归等，并具备2\xa0\xa0\xa0 年以上的数据挖掘/机器学习相关工作经验，熟悉基本的 NLP 概念和算法，有过分类 /\xa0\xa0\xa0\xa0 聚类等机器学习经验者优先；', '5.\xa0 具备推荐系统、精准营销、信息检索等方面的工作经验优先；', '6.\xa0 熟练掌握至少一种机器学习库，Scikit Learn、Spark MLlib， Tensorflow', '7.\xa0 熟悉Spark,Hadoop,Hive,HBase者优先；', '8.\xa0 熟悉爬虫 /搜索系统，有过海量数据爬虫 /搜索系统设计经验者优先；', '岗位职责:', '1. 利用机器学习从海量异构数据中进行有价值信息的挖掘和整合', '2. 将算法应用到海量数据处理中，解决项目的机器学习问题，例如用户画像分析，好友\xa0\xa0 推荐，人脉挖掘等。']"
"['牛人多,成长快,六险一金,弹性上班']",PHP,明源云链,"['12k-22k ', '/深圳 /', '经验3-5年 /', '大专及以上 /', '全职']",PHP开发工程师,12k-22k,"['职位描述：', '1、负责开发高可用、高效、稳定的产品及系统服务，根据业务需求，设计并实现技术解决方案，研究互联网领域前沿成果，并应用于产品中；', '2、完善并遵守团队的编码规范，编写高质量、高效率、结构清晰、易读、易维护的代码。', '岗位要求：', '1、3年及以上的PHP开发经验，本科以上学历，优秀者大专亦可；', '2、对OOP有较为深入的认识，了解linux操作系统，了解PHP相关的开源框架和项目；', '3、熟悉常用shell命令，熟悉nginx；熟悉设计模式，具备一定的架构设计能力；', '4、掌握相关Web开发技术，熟悉 HTML、Javascript；熟悉mysql，掌握关系数据库理论，有NoSQL经验者优先；', '5、具备良好的代码编程习惯及较强的文档编写能力，对大型网站的负载均衡和架构有经验者优先；', '公司福利：', '1、五天7小时弹性工作时间制，周末双休。自入职起即可享受法定节假日、年休假、婚假、丧假、产假、看护假、病假等带薪假期；', '2、社保+公积金+带薪年假+员工旅游+员工活动+节日礼品；', '3、节日津贴、年度体检、文化活动经费、下午茶、加班补贴、司龄补贴、员工培训教育、出差补贴等；', '4、公司安排培训分享，快速提高工作技能及技巧；', '5、您在过生日或者结婚时会收到来自公司的礼金或礼物；', '6、关于就餐，若您自己在家里做饭，公司有储存和加热的冰箱与微波炉；', '7、公司经常举办各种活跃、热闹的集体活动，如王者荣耀比赛、羽毛球比赛等；', '8、公司实行内部竞聘提升制度，良好的内部人才发展氛围，优秀人才可成为新公司的储备管理人才。']"
['上市企业 金融证券 技术牛人多'],C++,金证股份,"['13k-18k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",c++高级开发-交易产品部,13k-18k,"['工作职责:', '1、熟悉Windows系统下的C++开发，有良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '2、熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '3、具备较强的系统分析设计能力，能够理解并参与系统的设计工作；', '4、具备良好的沟通力、表达力、团队协作力以及责任心； ', '5、3年以上开发工作经验，并参与过大型C++项目的设计、开发工作，具备项目管理或开发团队管理经验者优先； ', '6、适应短期出差；', '7、熟悉金融或者有参与金融系统开发经验者优先。', '任职资格:', '1、参与业务需求分析，撰写系统概要设计说明书及详细说明书；', '2、与客户沟通业务需求；', '3、根据设计文档完成编码、调试、测试和维护；', '4、分析并解决客户、工程人员和测试人员反馈的问题；', '5、承担一个项目开发负责人，带领项目组完成开发任务。']"
['企业管理知识，带薪培训，精准客户'],客户经理,金米财税,"['5k-10k ', '/深圳 /', '经验不限 /', '大专及以上 /', '全职']",市场营销实习生,5k-10k,"['【你需要做的事情】', '1．目标客户的电话邀约，确定基本合作意向及服务内容，执行并完成公司产品销售计划。', '2．通过个人主动查询和搜索意向目标客户，并通过开发方式找寻负责人，进行意向销售；', '3．与客户保持良好沟通，实时把握客户需求，为客户经理提供面谈机会，从各方面促成合作前', '期的意向；', '4．根据公司产品、价格及市场策略，独立处置询价、报价、约访等事宜；', '5．将意向客户信息提供给客户经理跟进合作细节及敲定具体合作细节，长期跟进潜力客户。', '【工作岗位的优势】', '1.客户资源：不用外出，公司提供高品质客户；', '2.带薪培训：专业带薪培训，让你更懂专业和销售；', '3.降低压力：不用出外跑客户，销售全程都在公司搞定；', '4.后期培训：入职提供更全面的培训，早日成为业绩高手；', '5.优质环境：只要你做销售，公司都会把你培养成精英；', '【你获得的福利】', '1、无责底薪+提成+月度奖金，试用期即可加薪', '2、主管+师傅二对一带教，岗前培训均带薪，可免费参加总裁管理培训学院', '3、咨询顾问-咨询主管-咨询经理-咨询总监，晋升通道明确透明且指标化', '4、真人CS、攀岩、轰趴等团建活动丰富，台球、健身房、按摩椅、咖啡机等设施齐全', '【你所加入的团队】', '1、我们都是90后，除了会赚钱，吃鸡、攀岩、撕名牌、K歌、狼人杀、健身、阅读，我们样样不离', '2、我们追求卓越，最怕一生碌碌无为，还说平凡难能可贵，对品质、对意义、对信念有追求且坚守', '3、我们突破创新，不满足于已经熟悉和擅长的事情，不断调整新事物，拓展和提升能力维度', '4、我们简单高效，拒绝等级观念，平等沟通，结果导向。']"
['双休+法定全休 底薪+社保+提成+奖金。'],大客户代表,中铭视界,"['6k-12k ', '/深圳 /', '经验不限 /', '大专及以上 /', '全职']",影视实习生,6k-12k,"['技能要求：', '大客户代表，团队建设', '职位描述：', '1、负责产品宣传，项目推广', '2、与客户进行项目沟通、跟踪，准确、及时传达客户要求，与团队保持良好沟通；', '3、日常项目跟进与沟通，针对工作问题提出有效解决方案；', '4、完成各类活动项目的前期跟进、中期执行与项目后期制作工作；', '5、遵守公司规章制度，及时完成领导交代的其他工作任务。', '职位要求：', '1.对影视行业感兴趣，专业不限，21周岁以上，性格开朗', '2.教育背景：本科以上学历，具有一定的行业专业知识宏观概念、营销、管理、影视等专业优先，', '3.有责任心、有团队协作精神，善于挑战', '4.有政府平台融资、房地产融资、可交债、并购、VC、PE及银行金融市场业务经验，自带资源者优先考虑', '5.语言要求表达清晰、流利，有较强沟通能力和强烈的上进心；', '6.有相关行业经验，大学毕业能力突出者优先考虑；', '公司福利', '【中铭—福利】', '1.创业福利：工作满1-2年及以上，有机会成为分公司区域总监；', '2.职位晋升：最快6－8月晋升为经理；1-2年晋升为区域总监、总经理等；', '3.薪资晋级：随着职位晋升或业绩达到对应目标，公司给予丰厚的加薪奖励；', '4.年终奖：公司每年年底根据企业经济效益与员工表现对在岗人员发放年终奖；', '5.节日福利：端午、中秋、春节等传统节日公司统一发放礼品、中铭家人聚餐等；', '6.假日福利：周末双休，享有国家规定法定假日及年假、婚假、产育假等假期制度；', '7.社保福利：按国家社保法规定，为全体正式员工办理社会保险、医疗保险的全部险种；', '8.培训福利：每月均有不定期的各种培训，丰富自己的专业知识和技能；', '9.月度表彰：月中进行表彰大会，对上个月优秀员工进行红包鼓励或委任状颁发；', '10.旅游福利：集团不定期召集优秀员工集体出游，比如三亚、马尔代夫等；', '11.活动福利：定期举办员工聚餐、生日聚餐、运动会、拓展训练、季度旅游、企业年会等；', '12.薪酬福利：（3K-10K）浮动无责底薪+高额提成+股权激励+团队奖金+绩效奖+带薪年假+节日福利+生日福利等。', '【工作地址】深圳市福田区福华三路168号深圳国际商会中心27楼2705']"
['项目奖金 绩效奖金 五险一金 年终奖金'],游戏陪练,翔通游戏,"['8k-16k ', '/深圳 /', '经验1-3年 /', '大专及以上 /', '全职']",游戏文案策划,8k-16k,"['工作内容：', '1、游戏世界观架构和剧情大纲', '2、撰写具体的剧情对白和剧情动画', '3、负责任务相关的功能和表现的设计和实施跟进', '4、其他需要剧情包装的内容', '任职要求：', '1、热爱游戏行业，渴望做成功产品', '2、有一款完整的RPG游戏项目经验', '3、具有良好的文史常识储备及情境思考能力', '4、熟悉热门网络小说，对当下流行的网络文化有一定见解', '5、细心谨慎，有优秀的学习能力和团队合作精神']"
['福利待遇好，发展前景好'],游戏陪练,深圳市云舟网络科技有限公司,"['15k-18k ', '/深圳 /', '经验应届毕业生 /', '本科及以上 /', '全职']",Cocos2dx游戏客户端,15k-18k,"['岗位职责：', '1、使用cocos2d-X开发手机棋牌游戏客户端，能够完成核心架构搭建、功能和逻辑实现、前后端对接、多平台SDK接入和发布等；', '2、同服务端协议对接，实现前端和服务端程序的数据交换功能；', '3、同测试人员配合，修复相应bug以及加强细节优化问题。', '4、负责cocos2d开发团队组建和管理。', '\xa0', '任职要求：', '1、熟悉cocos2d引擎，熟悉C++，对常用数据结构和算法有较深的理解；', '2、熟悉socket和http等一般的通信方式；', '3、3年左右行业工作经验，有棋牌手游上线项目、SDK接入、lua开发经验者优先优先；', '4、有规范的编程风格和良好的文档撰写习惯；', '5、能承受工作压力强，有团队合作精神，自学能力强，有进取心。']"
['员工旅游、年终奖金、提供餐饮、每日下午茶'],游戏陪练,秀火网络,"['13k-18k ', '/深圳 /', '经验1-3年 /', '大专及以上 /', '全职']",cocos2d-lua游戏开发,13k-18k,"['职位描述：', 'a.使用quick-cocos2d-x 开发手机游戏', 'b.参与讨论软件模块功能、操作流程及界面布局等客户端设计', 'c.与服务器端程序进行充分协商，完成接口设计\xa0', 'd.按照项目计划，完成游戏开发、测试、维护工作', '岗位需求：', '1、2年要求能力较强者（2-4年工作经验***）上限5年', '2、大专及以上学历，计算机相关专业', '3、熟悉lua脚本，熟练使用quick-cocos2d-x游戏引擎', '4、熟练使用cocos studio工具', '5、掌握常用数据结构与算法，有较强的学习能', '6、具有良好的团队合作精神，逻辑思维能力强，善于沟通', '7、有棋牌项目经验者优先']"
"['周末双休,免费早晚餐,福利齐全,免费班车']",游戏陪练,通力互联,"['8k-10k ', '/深圳 /', '经验1-3年 /', '本科及以上 /', '全职']",高科技事业部-游戏运营,8k-10k,"['岗位职责：', '1、协助KA运营经理为游戏广告主提供全栈式的运营服务，对其投放的广告消耗和效果负责；\xa0', '2、按时按质完成广告主日常投放所需的信息同步、素材审核、异动排查和数据分析等工作；', '3、协助KA运营经理探索新的游戏广告模式，维系更健康游戏广告生态。', '岗位要求：', '岗位要求：', '1、一年以上互联网产品的相关运营经验，有游戏运营经验更佳；', '2、熟悉掌握各种办公软件，能高效高质量输出各类文档；', '3、积极主动，团队合作意识强，善于沟通及表达，能承担较强工作压力。']"
