advantage,classify_name,company,info,job_name,money,requirements 
['升职空间大 员工福利 包住宿 五险一金'],客户经理,博学思英语,"['6k-12k ', '/深圳 /', '经验不限 /', '大专及以上 /', '全职']",市场管理培训生,6k-12k,"['本岗位是市场业务方向，重点培养岗位，为公司储备综合管理型人才，欢迎优秀应届生！\xa0\xa0', '岗位职责：', '1.培养发展方向：客户经理、团队经理、销售经理；\xa0', '2.负责收集客户信息，市场调研分析，数据整理分析及反馈；\xa0', '3.通过培训，了解公司业务产品，分析市场行业动态，为客户提供专业的企业商事咨询服务；\xa0', '4.能够与其他同事共同协作，充分把握客户需求，完成业务目标；\xa0', '5.服从上级领导安排，准确且按时完成上级领导安排的工作。\xa0\xa0\xa0', '任职要求：', '1.优秀应届大专、本科学历，市场营销/金融经济/电子商务专业，有意向在教育企业服务行业发展；\xa0\xa0', '2.性格开朗，学习能力强，责任心强，有市场营销经验优先；', '3.具备开拓精神和资源整合能力；', '4.具有良好的沟通能力、抗压能力和服务意识；\xa0\xa0', '入司即提供专业的培训，一对一业务指导，清晰的晋升空间和加薪制度。’']"
['FAE 技术支持 现场应用 智能语音'],客户经理,声智科技,"['15k-30k ', '/深圳 /', '经验不限 /', '本科及以上 /', '全职']",现场应用工程师FAE（深圳）,15k-30k,"['职位描述：', '1.\xa0与产品研发一起设计定义手机智能语音助手SDK，加速声智技术在移动业务落地', '2.\xa0介绍推广声智语音技术，设计演示评估方案，协助客户经理完成销售目标', '3.\xa0作为项目技术接口，负责华南地区客户的技术沟通及项目协调，对项目最终交付落地负责', '4.\xa0提供客户支持，现场解决SDK相关集成测试相关问题', '5.\xa0对内协调研发资源，保证项目按时交付', '6.\xa0收集反馈客户研发进展，需求等信息', '\xa0', '任职资格：', '1.\xa0有2年以上项目管理及客户支持工作经验', '2.\xa0熟悉C语言，熟悉 C++ 或Java', '3.\xa0熟悉Android Audio HAL\xa0&\xa0Framework', '4.\xa0良好的表达沟通能力', '5.\xa0有智能语音设备项目经验者优先', '6.\xa0有语音识别ASR，自然语义立即NLP相关项目经验优先', '7.\xa0了解Android\xa0APP开发优先', '8.\xa0熟悉Linux设备驱动模型及内核相关技术优先', '9.\xa0熟悉I2S等音频通信协议，熟悉ALSA/Tinyalsa架构优先']"
['解决中小企业与个人融资难题'],客户经理,助八借,"['15k-25k ', '/深圳 /', '经验不限 /', '学历不限 /', '全职']",融资专员,15k-25k,"['因业务发展需要储备优秀客户经理，具体要求如下：', '1、年龄18-35周岁，男女不限；', '2、\xa0大专以上学历，综合能力强或者有销售经验。', '3、性格开朗，善于沟通；', '4、\xa0品行好，有团队意识，能服从团队管理；', '5、\xa0善于学习，勤奋，自信，诚信者']"
['成长空间大'],客户经理,花儿绽放网络科技,"['5k-8k ', '/深圳 /', '经验应届毕业生 /', '本科及以上 /', '全职']",实习AE,5k-8k,"['岗位职责：', '1、协助客户经理完成项目的立项流程，做好内部运营协调工作，把控项目的执行进度，确保项目顺利上线；', '2、负责会议纪要、竞品分析、结案报告等项目相关事务；', '3、完成公司、部门交给的其他临时工作任务。', '任职要求：', '1、广告学、新闻学、市场营销等相关专业；\xa0', '2、有亲和力，具备良好的沟通能力和执行力；', '3、有团队意识、善于沟通、善于思考，喜欢广告行业；']"
['金融行业上市公司'],C++,金证股份,"['20k-28k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",C++高级开发工程师,20k-28k,"['岗位要求：', '1、负责Windows下面的C/C++ 后台系统业务设计、开发和单元测试，要求开发的系统具有高性能和高可靠性，解决开发过程中的业务及技术问题;', '2、独立带1-2人完成小型项目；', '技能要求', '1、熟练使用C++语言开发，可以在windows，linux平台下C/C++程序开发；', '2、能够独立完成软件模块的需求分析、设计、开发及测试工作具有较好性能调优能力；', '3、熟悉数据库设计、分析、代码编写和调试；', '4、具备STL、网络、数据库多线程等相关知识的开发经验，并有深入认识；', '5、掌握面向对象设计与开发技能，掌握多核多线程并行编程与性能优化技术；', '6、具备良好合作态度及团队精神，并富有工作激情、创造力和责任感，能按时、高质量完成任务。']"
"['金融,上市,假多']",C++,金证股份,"['15k-20k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",c++主管开发工程师（不限开发平台）,15k-20k,"['工作职责：', '1、根据概要设计和需求说明撰写详细设计说明书；', '2、根据设计文档完成编码、调试、测试和维护；', '3、分析并解决客户、工程人员和测试人员反馈的问题；', '岗位要求：', '1、熟练使用vs2008进行程序的编码、调试；', '2、良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '3、熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '4、具备良好的交流沟通能力；', '5、适应短期出差；', '6、具有证券、银行、保险、基金行业经验优先。']"
['证券金融'],C++,金证股份,"['15k-25k ', '/深圳 /', '经验1-3年 /', '本科及以上 /', '全职']",证券-C++开发工程师,15k-25k,"['招聘要求：', '1、良好的编程习惯，扎实的C/C++基础知识；', '2、有WINDOWS（或LINUX)平台网络通信、多进（线）程、多核编程等相关平台编程技术生产实际应用经验；', '3、有独立（或作为主要参与人员参与）设计应用网关、应用服务器、数据库客户端应用、分步式缓存应用编程等经验优先；', '岗位职责：', '1、应用网关类程序开发、维护；', '2、基础业务组件、类库开发、维护；', '3、项目所需工具类应用开发、维护；', '4、应用性能优化。']"
"['金融,上市']",C++,金证股份,"['18k-28k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",c++高级开发工程师,18k-28k,"['工作职责：', '1、根据概要设计和需求说明撰写详细设计说明书；', '2、根据设计文档完成编码、调试、测试和维护；', '3、分析并解决客户、工程人员和测试人员反馈的问题；', '岗位要求：', '1、熟练使用vs2008进行程序的编码、调试；', '2、良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '3、熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '4、具备良好的交流沟通能力；', '5、适应短期出差；', '6、具有证券、银行、保险、基金行业经验优先。']"
"['金融,上市']",C++,金证股份,"['10k-18k ', '/深圳 /', '经验1-3年 /', '本科及以上 /', '全职']",c++开发工程师,10k-18k,"['岗位要求：', '1、精通C++语言，并熟悉一种以上关系数据库；', '2、2年以上Windows/linux平台\xa0后台开发工作经验；', '3、熟悉设计模式', '4、具备良好的沟通力、表达力、团队协作力以及责任心；', '5、熟悉金融或者有参与金融系统开发经验者优先；', '岗位职责：', '负责C++后台开发']"
['上市公司、股票期权、员工体检、员工旅游'],C++,金证股份,"['15k-25k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",高级C++开发,15k-25k,"['工作职责:', '1、根据概要设计和需求说明撰写详细设计说明书；', '2、根据设计文档完成编码、调试、测试和维护；', '3、分析并解决客户、工程人员和测试人员反馈的问题；', '任职资格:', '1、熟练使用vs2008进行程序的编码、调试；', '2、良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '3、熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '4、具备良好的交流沟通能力；', '5、适应短期出差；', '6、具有证券、银行、保险、基金行业经验优先。']"
"['金融,证券']",C++,金证股份,"['15k-20k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",c++主管开发工程师（windows方向）,15k-20k,"['岗位职责：', '1、根据概要设计和需求说明撰写详细设计说明书；', '2、根据设计文档完成编码、调试、测试和维护；', '3、分析并解决客户、工程人员和测试人员反馈的问题；', '工作职责：', '1、熟练使用vs2010进行程序的编码、调试；', '2、良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '3、熟悉SQLSERVER，熟练掌握数据库SQL语言；', '4、具备良好的交流沟通能力；', '5、适应出差；', '6、具有证券、银行、保险、基金行业经验优先。', '7、有独立负责项目或团队管理经验优先']"
"['金融,上市']",C++,金证股份,"['15k-20k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",c++主管开发工程师,15k-20k,"['职位描述：', '工作职责：', '1、根据概要设计和需求说明撰写详细设计说明书；', '2、根据设计文档完成编码、调试、测试和维护；', '3、分析并解决客户、工程人员和测试人员反馈的问题；', '岗位要求：', '1、熟练使用vs2008进行程序的编码、调试；', '2、良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '3、熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '4、具备良好的交流沟通能力；', '5、适应短期出差；', '6、具有证券、银行、保险、基金行业经验优先。']"
['周末双休 股票期权'],C++,金证股份,"['15k-25k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",C++高级开发工程师,15k-25k,"['工作职责:', '1、参与业务需求分析，撰写系统概要设计说明书及详细说明书；', '2、与客户沟通业务需求；', '3、根据设计文档完成编码、调试、测试和维护；', '4、分析并解决客户、工程人员和测试人员反馈的问题；', '5、承担一个项目开发负责人，带领项目组完成开发任务。', '任职资格:', '1.本科及以上学历，有3-5年Windows开发经验；', '2.熟悉C/C++语言标准，了解C14及之后标准者优先；', '3.数据结构及算法基础扎实；', '4.理解Windows消息机制、线程机制、内存管理机制等基本概念；', '5.熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '6.熟练使用STL,boost；', '7.代码及文档风格良好；', '8.熟悉金融或者有参与金融系统开发经验者优先。']"
['周末双休 股票期权'],C++,金证股份,"['15k-25k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",C++高级开发工程师（交易产品群）,15k-25k,"['工作职责:', '1、参与业务需求分析，撰写系统概要设计说明书及详细说明书；', '2、与客户沟通业务需求；', '3、根据设计文档完成编码、调试、测试和维护；', '4、分析并解决客户、工程人员和测试人员反馈的问题；', '5、承担一个项目开发负责人，带领项目组完成开发任务。', '任职资格:', '1、熟悉Windows系统下的C++开发，有良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '2、熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '3、具备较强的系统分析设计能力，能够理解并参与系统的设计工作；', '4、具备良好的沟通力、表达力、团队协作力以及责任心； ', '5、3年以上开发工作经验，并参与过大型C++项目的设计、开发工作，具备项目管理或开发团队管理经验者优先。']"
['上市企业 金融证券 技术牛人多'],C++,金证股份,"['13k-17k ', '/深圳 /', '经验1-3年 /', '本科及以上 /', '全职']",（深圳）c++开发工程师,13k-17k,"['岗位职责', '1、根据概要设计和需求说明撰写详细设计说明书；', '2、根据设计文档完成编码、调试、测试和维护；', '3、分析并解决客户、工程人员和测试人员反馈的问题；', '你需要具备：', '1、良好的编程习惯，扎实的C/C++基础知识，熟练使用标准C进行开发；', '2、熟悉SQLSERVER,DB2,ORARCLE数据库中至少一种，熟练掌握数据库SQL语言；', '3、具备良好的交流沟通能力；', '4、能适应短期出差；', '5、具有证券、银行、保险、基金行业经验优先。']"
"['平台大,发展快']",C++,乐刷,"['13k-23k ', '/深圳 /', '经验应届毕业生 /', '本科及以上 /', '全职']",2019届毕业生（C++后台开发）,13k-23k,"['1、计算机或相关专业，2019届本科或以上学历；', '2、精通C++开发，熟练使用Shell脚本；', '3、熟悉网络知识, 熟悉TCP/IP网络开发；', '4、熟悉LINUX环境开发；', '5、强烈的责任心和工作热情，良好的团队合作精神；']"
"['技能培训,弹性工作制,绩效奖金,团队活动']",C++,天下支付,"['10k-20k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",c/c++开发工程师,10k-20k,"['负责第三方支付平台级产品的服务器端开发工作；\xa0', '参与支付产品的架构设计和项目上线；', '负责解决项目中的关键问题和技术难题；', '负责对技术支持团队进行技术指导和培训；', '参与模块设计开发，WEB端开发，业务逻辑开发，银行接入等工作；', '参与相关子系统及业务流程优化重构，研发过程优化工作。', '教育背景', '计算机、通信或相关专业本科以上学历', '工作经验', '3年以上Unix、Linux下C/C++开发经验或3年JAVA开发经验；', '具有在线支付、电子商务、银行、基金行业工作经验优先。', '职能技巧', '1、熟悉Unix、Linux操作系统原理及常用工具；\xa0', '2、精通TCP/IP协议、进程间通讯编程，熟悉Unix/Linux下常用架构设计方法；', '3、精通至少一门编程语言C++/JAVA，对html有一定的理解和实践经验；', '4、熟悉MYSQL、ORACLE等数据库开发；', '5、具备全面的软件知识结构认知（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；', '6、熟悉python、shell及perl等脚本；\xa0', '7、具备良好的分析解决问题能力,能独立承担后台逻辑系统开发工作；\xa0', '8、责任心强，具备良好的对外沟通和团队协作能力，主动，好学；', '9、具备大容量通信系统开发经验、异地容灾部署的相关经验者优先。']"
['氛围好'],C++,vivo,"['25k-50k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",后台开发工程师/专家（JAVA/C++）,25k-50k,"['职责描述：', '1、参与在线架构设计和优化，支撑实时、大规模、高可靠系统的研发；', '2、负责推荐系统、广告系统的设计和优化，提升系统的灵活性、稳定性；', '3、参与构建基础数据仓库、计算和传输平台，流式计算，离线挖掘系统，机器学习系统等。', '任职要求：', '1、3年或以上相关工作经验，熟练掌握至少一种编程语言：C/C++、Java、Python、Shell；', '4、基础知识扎实，例如：数据结构、网络编程、多线程编程、分布式架构；', '3、丰富的后台架构开发经验，例如：推荐系统、广告系统、搜索引擎等；', '4、具备Hadoop、MapReduce、Spark、Storm、HBase、Kafka等开发经验者优先；', '5、具备创新思维，在专利和论文方面积累较多经验者优先。']"
"['六险一金,弹性上班,牛人多,技术分享']",PHP,明源云链,"['12k-22k ', '/深圳 /', '经验3-5年 /', '大专及以上 /', '全职']",PHP开发工程师,12k-22k,"['1、负责开发高可用、高效、稳定的产品及系统服务，根据业务需求，设计并实现技术解决方案，研究互联网领域前沿成果，并应用于产品中；', '2、完善并遵守团队的编码规范，编写高质量、高效率、结构清晰、易读、易维护的代码。', '1、3年及以上的PHP开发经验，本科以上学历，优秀者大专亦可；', '2、熟练掌握PHP及常用框架如ThinkPHP, Yii等，对PHP相关的开源框架和项目有了解；', '3、对OOP有较为深入的认识，熟悉设计模式，具备一定的架构设计能力', '4、熟悉常用shell命令，熟悉nginx，了解linux操作系统，docker虚拟化技术；', '5、熟悉常用的中间件，如:memcache,redis,rabbitmq等；', '6、掌握相关Web开发技术，熟悉 HTML、Javascript；熟悉mysql，掌握关系数据库理论，有NoSQL经验者优先；', '7、有高并发web开发8、DevOps经验者、熟悉UML建模者优先；', '8、具备良好的代码编程习惯及较强的文档编写能力，对大型网站的负载均衡和架构有经验者优先。', '公司福利：', '1、五天7小时弹性工作时间制，周末双休。自入职起即可享受法定节假日、年休假、婚假、丧假、产假、看护假、病假等带薪假期；', '2、社保+公积金+带薪年假+员工旅游+员工活动+节日礼品；', '3、节日津贴、年度体检、文化活动经费、下午茶、加班补贴、司龄补贴、员工培训教育、出差补贴等；', '4、公司安排培训分享，快速提高工作技能及技巧；', '5、您在过生日或者结婚时会收到来自公司的礼金或礼物；', '6、关于就餐，若您自己在家里做饭，公司有储存和加热的冰箱与微波炉；', '7、公司经常举办各种活跃、热闹的集体活动，如王者荣耀比赛、羽毛球比赛等；', '8、公司实行内部竞聘提升制度，良好的内部人才发展氛围，优秀人才可成为新公司的储备管理人才。']"
"['腾讯系团队,扁平管理,六险一金']",PHP,富途,"['14k-28k ', '/深圳 /', '经验1-3年 /', '学历不限 /', '全职']",资讯与社区PHP开发工程师,14k-28k,"['职位诱惑：', '为员工提供全方位金融知识，亲密接触股市大神', '来了就是核心岗位，发展空间巨大', '同事氛围欢乐+节日定制礼物+各种员工娱乐协会+种类多多假期', '岗位职责：', '1、负责公司网站平台的证券业务系统、互联网社区特性和运营平台的设计和开发', '2、对现有的Web业务系统的维护、升级改造和性能优化。', '3、与团队其他角色紧密配合工作，共同创造稳定易用的产品；', '任职要求:', '1、2年以上的Web后端开发经验，行业背景不限，大厂开发经验优先。', '2、熟练使用MySQL，良好的数据库设计和丰富的优化经验', '3、熟悉NoSQL技术(redis，memcached等）', '4、有Web安全意识，熟悉常见的Web安全问题以及防御措施', '5、熟悉linux web开发平台及工具，熟悉nginx服务器的配置优化工作', '6、了解web前端开发技术和常见的前端优化技巧', '7、有较强的学习能力，有良好沟通能力以及团队协作精神，能够承担工作压力']"
"['腾讯系团队,扁平管理,六险一金']",PHP,富途,"['14k-28k ', '/深圳 /', '经验1-3年 /', '学历不限 /', '全职']",风控与服务PHP开发工程师,14k-28k,"['职位诱惑：', '团队氛围好，有助于提升自身实力。发展空间巨大。', '与行业牛人并肩工作。', '同事氛围好，技术研习班，节日定制礼物、各种员工娱乐协会、种类多多假期。', '岗位职责：', '1、负责证券风控、交易等业务系统的开发；负责服务提升类项目的开发；负责对外活动，例如：模拟炒股等的开发。', '2、参与系统改造、重点项目、技术难点的攻坚。', '任职要求:', '1、熟练掌握PHP开发（或精通C/C++或Python)，熟悉网络编程，具有良好的数据结构和算法功底；', '2、熟悉Linux开发环境，熟悉MySQL的使用方法；', '3、具备良好的分析解决问题能力、学习能力、团队协作能力，认真负责；', '4、了解常见的PHP框架或其他语言的网络框架，例如Yii，Laravel ，Flask等。']"
"['福利好,跨国团队,顶级技术,产品棒']",PHP,AfterShip,"['12k-23k ', '/深圳 /', '经验1-3年 /', '本科及以上 /', '全职']",PHP后端工程师,12k-23k,"[""if (your_passions.includes('coding')) {"", '\xa0switch(your_stacks) {', ""\xa0\xa0\xa0case 'Node.js':"", ""\xa0\xa0\xa0case 'Python':"", ""\xa0\xa0\xa0case 'Kubernetes':"", ""\xa0\xa0\xa0case 'Serverless':"", ""\xa0\xa0\xa0\xa0\xa0console.log('Join AfterShip');"", '\xa0\xa0\xa0\xa0\xa0break;', '\xa0\xa0\xa0}', '}', '岗位职责', '1、负责与不同电商平台及商城的系统对接，熟悉并严格遵守 APP 商城规则;', '2、负责电商平台及商城的相关插件开发，在 \xa0GitHub 开源及维护；', '3、负责系统的 SLA 代码维护、迭代更新，保证任务质量和交付及时性；', '4、负责编写相关的技术文档、单元测试，对产品质量负责。', '岗位要求', '1、统招本科及以上学历，具备英语读写能力；', '2、熟悉 Git/GitHub，通信协议 TCP/HTTP 及 RESTful 标准；', '3、一年及以上 PHP 开发工作经验，有 Shopify, Magento, Opencart, Amazon 等电商平台或独立电商网站的模组开发经验。', '加分项', '1、有 CI/CD 自动化测试经验；', '2、有使用 Docker、Kubernetes、AWS 或 GCP 云计算经验；', '3、有写 Blog 的习惯，活跃技术社区，参与开源项目等；', '4、有代码洁癖，对代码精益求精，对技术有极客热情;', '5、有软件著作权申请，有专利发明申请。', '为什么加入我们', '1、极客氛围: 拥抱开源技术，实践敏捷开发；', '2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；', '3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；', '4、多元文化: 团队来自全球十几个国家；', '5、龙头企业: 海外知名企业，细分领域第一；', '6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。']"
"['小组制度,多语言学习,新技术探索']",PHP,风变科技（深圳）有限公司,"['4k-6k ', '/深圳 /', '经验应届毕业生 /', '本科及以上 /', '实习']",后端开发实习生（Go/Python/PHP）,4k-6k,"['加入我们，你将学习承载百万学员的学习平台如何被创造；了解风变编程的微服务架构、集群化管理、devops文化；不仅仅会使用Go/Python/PHP 多种语言，还有Docker、K8S、Elasticsearch、WebSocket等服务架构的演进，同时还会与其他Group 一起开展 NLP（自然语言处理）与 AI问答、PLT（Programming language theory）设计编程语言等领域的深入研究；', '作为一家教育公司的技术团队，秉承公司的教育理念，对待实习生的培养我们非常认真并且专业。期待你的快速成长，我们能一起探讨技术的未来。', '【能力要求】', '1. 计算机相关专业并且热爱计算机与coding。在校期间的每个实验或大作业都是自己独立完成，并成为了别人的大腿', '2. 逻辑能力强，看见一个产品就能很快分析出背后的实现逻辑', '3. 至少使用 Go || Java || Python || PHP 实现过一个 web 项目', '4. 除了 MySQL 、SQL Server 外，至少还用过1种其他数据库，比如 PostgreSQL、mongo DB', '5. 已经放弃使用 windows ，选择了 mac os 、ubuntu 或其他 linux 发行版作为你的开发环境', '6. 追求更高的代码质量，所以设计模式是比较熟悉的，并且应用在了自己做的一些项目里', '7. 非常熟悉 Git ，了解\xa0 git-flow 或者 gitlab-flow\xa0', '8. 以上 7 点完全匹配可能要求较高，如果你真的热爱编程、乐于挑战也可以投简历试一试', '【职位描述】', '1. 前期，学习并熟悉公司的业务与技术架构', '2. 根据成长幅度的不同，参与不同难度的产品项目', '3. 能力突出者，参与新技术探索与应用', '4. 能力突出并不难，目前我们系统的部分核心业务与设计就是实习生参与共同完成的']"
"['BAT,弹性工作,发展空间大,福利多']",PHP,百度,"['20k-40k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",测试开发工程师-Android（php）方向,20k-40k,"['工作职责：', '-根据产品需求进行系统测试，包括测试设计、执行、Bug提交和追踪，测试报告等', '-开发测试工具和自动测试框架、自动测试脚本，进行自动化测试', '-对项目研发流程进行优化，提高整个项目的交付效率', '-开发和维护高效的持续集成、单元测试框架和工具，提高开发工作效率和提测代码质量，并参与代码评审', '-协助研发定位问题', '职位要求：', '-本科或以上学历，计算机软件相关专业优先\xa0', '-有扎实的C++、Java语言基础;', '-熟悉Android、php开发工具和相关开发测试工具的使用\xa0', '-具备强烈的进取心和责任感, 极强的学习能力及良好的团队合作精神\xa0', '-具有较强逻辑思维能力和表达能力\xa0', '-对敏捷流程熟悉者优先\xa0', '-善于学习和运用新知识，有很强的分析能力和定位问题的能力']"
['发展空间大'],PHP,万兴科技股份有限公司,"['18k-28k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",高级后台开发工程师（PHP),18k-28k,"['1、负责用户中心、购买支付服务的开发升级；', '2、负责运营后台系统开发工作，信息系统的开发升级；', '任职要求：', '1、精通LNMP环境开发，具备后台系统统计数据报表开发工作经验；', '2、精通数据缓存处理，能够熟练应用Redis、Memcache等工具辅助提升性能；', '3、熟悉PHP开发框架应用，至少精通其中一种框架，理解其设计原理；', '4、熟悉Sql应用与性能调优，基于CURD的的应用与优化；', '5、熟悉常用的数据结构与原理，并能够在开发中加以应用；']"
"['弹性工作,平台好,跨区域团队,重视技术']",PHP,Tink Labs,"['18k-30k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",高级后台工程师(PHP/Nodejs/Go),18k-30k,"['我们的旗舰产品handy是摆放在酒店客房内的免费智能手机产品，客人可以在酒店内或将手机带出酒店使用， 它可以提供酒店客人免费的通讯、实时更新的信息和移动电子商务平台服务，我们的服务已覆盖全球52个国家，1000个城市，在主要城市像香港和新加坡handy的酒店客房覆盖率超过了50%。', '工作职责：', '1、负责核心产品的需求分析及后台开发工作；', '2、负责现有系统的架构改造和升级。', '任职要求：', '1、计算机相关专业，5年及以上互联网行业工作经验,有扎实的计算机理论基础；', '2、精通LAMP技术栈，对主流的PHP框架有实战经验，自行设计过PHP框架者优先；', '3、熟悉WEB架构，具备高性能、高可用和分布式系统的实践经验；', '4、熟悉Elasticsearch的运行机制', '5、具有较强的业务需求分析能力、问题定位能力，能够高效沟通；', '6、有出色的学习能力与饱满的工作热情，善于钻研新技术；', '7、具备OTA后台开发经验者优先考虑']"
"['发展空间大,带薪年假']",PHP,华润置地商业地产总部,"['15k-30k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",后台开发（PHP）,15k-30k,"['岗位职责：', '1、负责APP后台业务模块服务化开发和性能优化，H5相关开发和后台管理页面开发。', '2、负责公司PHP产品相关功能模块的设计、编码、单元测试、维护，按时保质地完成所分配的工作任务；', '3、遵守团队的代码格式与结构规定，负责编写易读、易维护、高质量、高效率的代码；', '4、快速学习并掌握项目中使用的新技术，及时反馈开发中的问题，并根据实际情况提出改进建议或意见；', '5、负责本人及本团队模块功能的维护和修改；', '6、完成与本职位相关的其它工作。', '任职要求：', '1.5年以上的PHP开发经验，熟练应用PHP+MySQL进行开发，熟悉LAMP平台，能熟练使用SVN版本控制工具；', '2.能熟练使用Laravel、Yii、Zend Framework等PHP开发框架，熟悉MVC设计模式，熟悉微服务架构者优先；', '3.熟练使用HTML/CSS/JavaScript/Ajax/JQuery/XML等技术进行WEB应用开发，熟悉各种常用前端控件、表单验证库等，熟悉前端框架如react.js,vue.js等优先；', '4.熟悉大型网站性能优化，熟练掌握MySQL主从开发、索引优化、查询优化和存储优化，以及PHP缓存、CDN、静态化等技术；', '5.对分布式文件存储、Redis/Memcache分布式缓存、非关系型数据库（如Redis、MongoDB等）、消息队列(Kafka)、云计算等相关技术有一定研究者优先；', '6.工作认真负责，有较强的团队协作精神，善于表达与沟通，经常与其他程序员交流编码、设计经验。', '7、具备较强的逻辑推理能力、团队协作能力、沟通能力；']"
"['小组制度,多语言学习,新技术探索']",PHP,风变科技（深圳）有限公司,"['8k-15k ', '/深圳 /', '经验1年以下 /', '本科及以上 /', '全职']",后端开发工程师（Go/Python/PHP）,8k-15k,"['加入我们，你将学习承载百万学员的学习平台如何被创造；了解风变编程的微服务架构、集群化管理、devops文化；不仅仅会使用Go/Python/PHP 多种语言，还有Docker、K8S、Elasticsearch、WebSocket等服务架构的演进，同时还会与其他Group 一起开展 NLP（自然语言处理）与 AI问答、PLT（Programming language theory）设计编程语言等领域的深入研究；', '作为一家教育公司的技术团队，秉承公司的教育理念，对待实习生的培养我们非常认真并且专业。期待你的快速成长，我们能一起探讨技术的未来。', '【能力要求】', '1. 计算机相关专业并且热爱计算机与coding。在校期间的每个实验或大作业都是自己独立完成，并成为了别人的大腿', '2. 逻辑能力强，看见一个产品就能很快分析出背后的实现逻辑', '3. 至少使用 Go || Java || Python || PHP 实现过一个 web 项目', '4. 除了 MySQL 、SQL Server 外，至少还用过1种其他数据库，比如 PostgreSQL、mongo DB', '5. 已经放弃使用 windows ，选择了 mac os 、ubuntu 或其他 linux 发行版作为你的开发环境', '6. 追求更高的代码质量，所以设计模式是比较熟悉的，并且应用在了自己做的一些项目里', '7. 非常熟悉 Git ，了解\xa0 git-flow 或者 gitlab-flow\xa0', '8. 以上 7 点完全匹配可能要求较高，如果你真的热爱编程、乐于挑战也可以投简历试一试', '【职位描述】', '1. 前期，学习并熟悉公司的业务与技术架构', '2. 根据成长幅度的不同，参与不同难度的产品项目', '3. 能力突出者，参与新技术探索与应用', '4. 能力突出并不难，目前我们系统的部分核心业务与设计就是实习生参与共同完成的']"
