ID,学历要求,工作经验,薪资
5510899,本科,1-3年,13k-18k
5531028,本科,3-5年,11k-20k
5748069,本科,1-3年,9k-15k
5688150,本科,1-3年,10k-15k
5672823,大专,3-5年,14k-20k
3043500,本科,1-3年,5k-7k
2989157,本科,1-3年,15k-30k
5638103,大专,1-3年,10k-15k
5372143,大专,3-5年,6k-10k
4210417,本科,5-10年,25k-50k
5588471,本科,1-3年,15k-30k
5775291,本科,1-3年,15k-20k
5388108,本科,1-3年,15k-20k
5755123,本科,1-3年,10k-20k
5758103,本科,1-3年,8k-15k
5767552,本科,3-5年,12k-20k
5494133,本科,1-3年,8k-15k
5635541,本科,1-3年,10k-15k
5645647,大专,3-5年,10k-20k
5733985,本科,3-5年,12k-20k
2428796,本科,1-3年,8k-15k
5605439,本科,5-10年,25k-50k
4899093,本科,1-3年,6k-9k
4687784,本科,1-3年,15k-25k
5592108,本科,1-3年,10k-15k
5762588,不限,不限,8k-15k
5167551,本科,3-5年,15k-30k
5322545,本科,3-5年,15k-25k
5430691,本科,3-5年,15k-30k
4757428,本科,3-5年,15k-25k
5317918,本科,应届毕业生,10k-20k
5487037,本科,1-3年,10k-20k
5318879,本科,不限,10k-20k
5348406,本科,应届毕业生,10k-20k
4883641,硕士,1-3年,15k-30k
5441147,本科,3-5年,17k-23k
5750986,本科,1-3年,15k-20k
5540455,本科,1-3年,7k-10k
5183495,本科,1-3年,8k-12k
5626631,本科,不限,10k-20k
5102463,本科,3-5年,15k-30k
5601984,不限,1-3年,6k-10k
5634834,本科,1-3年,8k-11k
4426819,大专,3-5年,7k-14k
5037237,本科,1-3年,3k-6k
5742734,本科,1-3年,8k-15k
4734246,硕士,1-3年,10k-20k
5732360,本科,3-5年,15k-30k
4326715,本科,1-3年,15k-30k
5677709,硕士,3-5年,10k-20k
5292839,本科,不限,15k-30k
5645161,本科,3-5年,20k-40k
5701380,硕士,不限,12k-20k
5173528,本科,3-5年,15k-27k
5555963,本科,不限,15k-20k
5774162,本科,应届毕业生,2k-4k
5611151,大专,3-5年,12k-18k
4941276,本科,1年以下,5k-7k
5648547,不限,不限,10k-20k
5385860,本科,1-3年,12k-16k
5746334,本科,1-3年,10k-12k
5703112,本科,1年以下,4k-6k
5507498,本科,3-5年,8k-16k
4326710,本科,1-3年,15k-25k
4735530,本科,1-3年,15k-20k
5565856,本科,1-3年,20k-40k
5774157,本科,应届毕业生,2k-4k
4143575,本科,1-3年,6k-8k
5316172,硕士,3-5年,15k-25k
5771777,大专,1-3年,10k-15k
5524923,不限,不限,6k-10k
4646123,本科,1-3年,8k-15k
5457704,本科,3-5年,10k-20k
5327234,本科,不限,4k-5k
5712371,不限,不限,20k-40k
5571849,本科,3-5年,15k-30k
5673764,本科,1-3年,15k-25k
5580770,本科,1-3年,8k-10k
5498427,本科,1-3年,20k-40k
5524909,本科,3-5年,15k-20k
5453070,本科,1-3年,8k-13k
5758190,本科,1年以下,10k-15k
5750498,本科,3-5年,23k-46k
4112258,本科,1-3年,8k-15k
5645117,本科,3-5年,12k-20k
5754290,本科,3-5年,20k-40k
5491834,不限,1-3年,15k-25k
5609223,本科,3-5年,15k-25k
5555143,本科,1-3年,12k-20k
5598888,本科,3-5年,10k-20k
5460162,本科,1-3年,8k-14k
5523673,本科,3-5年,15k-30k
5583653,本科,3-5年,15k-30k
5389270,本科,1-3年,15k-20k
4574609,本科,3-5年,15k-30k
3462732,本科,1-3年,15k-30k
5493916,硕士,1-3年,12k-24k
5112176,本科,不限,20k-35k
5768884,本科,不限,4k-7k
5438595,本科,3-5年,20k-35k
5622525,本科,1-3年,6k-12k
5210317,本科,3-5年,20k-40k
5767598,本科,3-5年,20k-35k
5760999,本科,1年以下,5k-10k
4465672,本科,1-3年,8k-15k
4619433,本科,3-5年,8k-12k
5501012,本科,3-5年,25k-50k
5533108,本科,3-5年,15k-25k
5683650,本科,3-5年,10k-20k
3403083,硕士,1-3年,15k-30k
5728298,本科,1-3年,10k-14k
4586305,本科,3-5年,10k-18k
5762458,本科,1-3年,10k-20k
5636846,本科,1-3年,8k-15k
4213476,大专,1年以下,5k-6k
4996477,本科,应届毕业生,12k-24k
5483063,本科,不限,15k-30k
5767142,大专,3-5年,15k-25k
4210287,本科,3-5年,13k-20k
5389184,本科,5-10年,15k-20k
5444468,本科,3-5年,20k-40k
4602329,本科,3-5年,13k-25k
5084058,大专,3-5年,10k-20k
5690955,本科,3-5年,10k-20k
5437620,本科,1-3年,7k-10k
5463328,本科,3-5年,18k-30k
5592385,本科,3-5年,15k-30k
5738476,本科,1-3年,13k-20k
4070433,硕士,1-3年,15k-30k
5750230,不限,3-5年,18k-30k
3051126,硕士,应届毕业生,10k-15k
5639311,本科,1-3年,15k-30k
5591643,本科,3-5年,18k-35k
5764461,本科,3-5年,12k-20k
5590768,不限,1-3年,10k-15k
4757404,本科,3-5年,15k-25k
3413899,本科,3-5年,18k-36k
5298966,本科,不限,2k-3k
4756488,本科,3-5年,15k-25k
5249910,本科,5-10年,20k-35k
5710598,本科,3-5年,13k-20k
5614359,本科,1-3年,20k-40k
4527714,本科,3-5年,15k-30k
5760093,本科,3-5年,15k-30k
5096427,大专,1-3年,15k-30k
5699266,大专,不限,4k-8k
5695409,本科,1-3年,10k-15k
5214023,本科,5-10年,35k-65k
5743330,本科,不限,6k-7k
5726171,本科,3-5年,25k-35k
5718599,硕士,不限,5k-7k
5717756,本科,3-5年,15k-25k
5600546,本科,1-3年,6k-12k
5516325,本科,3-5年,15k-30k
5718568,硕士,不限,5k-7k
4894988,本科,5-10年,15k-30k
5756631,本科,3-5年,15k-30k
5455872,本科,1-3年,15k-25k
5695464,本科,1-3年,15k-30k
5512268,本科,3-5年,15k-25k
